qubits,depth,cpu,gpu,exit_cpu,exit_gpu
20,10,124.181432008,1.742495902,0,0
20,10,123.297501972,1.814083898,0,0
20,10,121.379903236,1.914430000,0,0
20,30,349.263053731,1.782165621,0,0
20,30,350.771517729,1.656017471,0,0
20,30,350.620094873,2.093154097,0,0
20,30,346.080653010,1.894663630,0,0
20,30,348.511111696,1.919218625,0,0
20,30,352.675494449,1.813762241,0,0
20,30,348.042044198,1.819905687,0,0
20,30,353.671943916,1.814496155,0,0
20,30,356.278712213,2.063337108,0,0
20,30,346.914834499,1.795827283,0,0
20,50,572.549605054,1.927964506,0,0
20,50,578.675462918,1.851262308,0,0
20,50,577.858698769,1.852633765,0,0
20,50,575.716247218,1.985626845,0,0
20,50,576.858568767,2.131259798,0,0
20,50,574.406474786,1.901550341,0,0
20,50,574.121496760,1.918933138,0,0
20,50,568.816588371,1.909011153,0,0
20,50,573.364821866,2.013014160,0,0
20,50,574.030705685,2.096267551,0,0
20,70,807.722653405,2.002825970,0,0
20,70,793.274909315,1.873567724,0,0
20,70,803.741442861,2.000204069,0,0
20,70,801.706901604,1.981240329,0,0
20,70,794.977322228,1.969433438,0,0
20,70,797.203579160,1.980226885,0,0
20,70,794.839906896,1.961964947,0,0
20,70,803.740879593,2.058282485,0,0
20,70,800.173572537,2.036338096,0,0
20,70,803.246412810,2.026142664,0,0
20,100,1142.202462527,1.841484922,0,0
20,100,1136.522199456,2.103505965,0,0
20,100,1135.231479116,2.150271601,0,0
20,100,1135.811341912,2.216420900,0,0
20,100,1134.093595030,2.123171461,0,0
20,100,1129.975540554,2.043628585,0,0
20,100,1142.855285120,2.144164263,0,0
20,100,1133.875492111,2.017978042,0,0
20,100,1138.018512593,2.215973106,0,0
20,100,1141.310204652,1.975220377,0,0
30,10,5.116289795,10.365269391,137,0
30,10,5.033626994,10.499711458,137,0
30,10,4.992131043,10.401442754,137,0
30,10,5.111624958,10.377675032,137,0
30,10,4.968848859,10.454354758,137,0
30,10,.000603812,9.592504972,137,0
30,10,.000584098,9.736458539,137,0
30,10,.000589245,9.834317869,137,0
30,10,.000587622,9.883368298,137,0
30,10,.001012824,10.142111221,137,0
30,30,.000621762,24.817496126,137,0
30,30,.000608001,24.977765129,137,0
30,30,.000578122,25.167540519,137,0
30,30,.001040846,25.160570111,137,0
30,30,.000606449,25.007109503,137,0
30,30,.000585513,24.851476249,137,0
30,30,.000602548,24.791373180,137,0
30,30,.000601303,24.645764053,137,0
30,30,.000586709,24.793996729,137,0
30,30,.000618938,24.770363305,137,0
30,50,.000609118,39.619890917,137,0
30,50,.000597053,39.585842005,137,0
30,50,.000667403,39.555080251,137,0
30,50,.000607204,39.625096247,137,0
30,50,.000592718,39.645484352,137,0
30,50,.000606112,39.374124933,137,0
30,50,.000620034,39.736692292,137,0
30,50,.000595494,39.903577532,137,0
30,50,.000598287,40.205319460,137,0
30,50,.000595722,40.124720962,137,0
30,70,.000602474,54.883902723,137,0
30,70,.000579646,55.066939089,137,0
30,70,.000599707,55.071800941,137,0
30,70,.000586756,55.281089659,137,0
30,70,.000577565,55.162099753,137,0
30,70,.000586595,55.309753500,137,0
30,70,.000586497,54.953646582,137,0
30,70,.000584697,55.222670637,137,0
30,70,.000603870,55.164326807,137,0
30,70,.000581096,55.163869396,137,0
30,100,.000767009,77.336649525,137,0
30,100,.000624661,77.549432194,137,0
30,100,.000720931,77.317278185,137,0
30,100,.000634429,77.825962991,137,0
30,100,.000670900,77.265309228,137,0
30,100,.000599367,77.403859255,137,0
30,100,.000752414,77.462243976,137,0
30,100,.000604747,77.448222795,137,0
30,100,.000604018,77.096267858,137,0
