qubits,depth,cpu,gpu,exit_cpu,exit_gpu
20,30,10.696118493,.392916798,0,0
20,30,10.560517216,.394028529,0,0
20,30,10.611653086,.392789472,0,0
20,30,10.471445430,.396738414,0,0
20,30,10.629356046,.391306145,0,0
20,30,10.614161054,.396610237,0,0
20,50,17.581322562,.409428929,0,0
20,50,17.739805535,.413743092,0,0
20,50,19.148730301,.406555501,0,0
20,50,18.058846526,.409779622,0,0
20,50,17.562004519,.410781977,0,0
20,50,17.790705294,.409119636,0,0
20,50,17.906838180,.409446776,0,0
20,50,17.927473963,.408882697,0,0
20,50,17.882730110,.413128609,0,0
20,50,19.222233914,.416065888,0,0
20,70,25.192380813,.427531025,0,0
20,70,24.659911926,.419086890,0,0
20,70,24.854774184,.434515120,0,0
20,70,25.324717611,.421053208,0,0
20,70,25.011945669,.435331792,0,0
20,70,24.904224930,.420832880,0,0
20,70,24.910732722,.422459824,0,0
20,70,25.013366157,.424122902,0,0
20,70,24.903340592,.421321556,0,0
20,70,25.167939941,.422672740,0,0
20,100,35.508082480,.448175352,0,0
20,100,36.035873688,.444920732,0,0
20,100,35.961186426,.447689974,0,0
20,100,35.750389888,.462897079,0,0
20,100,36.120040709,.450782508,0,0
20,100,35.943703579,.450658694,0,0
20,100,36.077880854,.444200655,0,0
20,100,35.950594225,.451944449,0,0
20,100,36.107613698,.446330862,0,0
20,100,35.786296194,.447264720,0,0
30,10,.000721864,.875187061,999,0
30,10,.000694600,.713864978,999,0
30,10,.000671432,.717280411,999,0
30,10,.000657864,.714588477,999,0
30,10,.000682792,.719937917,999,0
30,10,.000673544,.711365049,999,0
30,10,.000678728,.713876503,999,0
30,10,.000705224,.712446728,999,0
30,10,.000676296,.711879170,999,0
30,10,.000667976,.733492097,999,0
30,30,.000685480,1.489772017,999,0
30,30,.000683656,1.476021941,999,0
30,30,.000679752,1.476021049,999,0
30,30,.000657288,1.480421105,999,0
30,30,.000681896,1.563258788,999,0
30,30,.000679624,1.479237133,999,0
30,30,.000655464,1.564046807,999,0
30,30,.000680233,1.474690850,999,0
30,30,.000689384,1.509470686,999,0
30,30,.000695944,1.516270163,999,0
30,50,.000671015,2.231995746,999,0
30,50,.000672776,2.237384684,999,0
30,50,.000664104,2.233205540,999,0
30,50,.000672968,2.230895443,999,0
30,50,.000654951,2.233983234,999,0
30,50,.000641320,2.238374303,999,0
30,50,.000635495,2.234392442,999,0
30,50,.000679144,2.239336383,999,0
30,50,.000659208,2.233119615,999,0
30,50,.000741481,2.237894081,999,0
30,70,.000692840,2.997416475,999,0
30,70,.000704680,2.992798230,999,0
30,70,.000681320,3.005058905,999,0
30,70,.000674696,3.127616181,999,0
30,70,.000676872,2.997060254,999,0
30,70,.000688457,2.992747931,999,0
30,70,.000672584,2.994898277,999,0
30,70,.000682664,3.089409464,999,0
30,70,.000710185,2.990927128,999,0
30,70,.000706313,2.992256217,999,0
30,100,.000689768,4.225494945,999,0
30,100,.000693832,4.224533622,999,0
30,100,.000699273,4.231911118,999,0
30,100,.000692841,4.260126046,999,0
30,100,.000712617,4.251045298,999,0
30,100,.000710601,4.298876428,999,0
30,100,.000695145,4.251815292,999,0
30,100,.000693897,4.240461299,999,0
30,100,.000650472,4.231538087,999,0
30,100,.000666568,4.138013544,999,0
